"ТОЖЕ","5"
"ЗНАЛ","5"
"ТЕПЕРЬ","5"
"ЗДЕСЬ","5"
"ПЕТЯ","5"
"ПОЛУ","5"
"СТОРОНУ","5"
"ОЧЕНЬ","5"
"СТОЯЛ","5"
"КОКАИН","5"
"СОБОЙ","5"
"ТАБУРЕТ","5"
"МАУЗЕР","5"
"ЭТА","5"
"ИМЕННО","5"
"СЕЛ","5"
"ТЕБЯ","5"
"САМОМ","5"
"КАКАЯ","5"
"ВНИМАНИЯ","5"
"ВЗЯЛ","5"
"ИДЕТ","5"
"ТОЛСТОЙ","5"
"ОТКУДА","5"
"КО","4"
"МНОГО","4"
"ЗНАЕТЕ","4"
"КОМНАТЫ","4"
"ВИДА","4"
"ПАМЯТЬ","4"
"СТОЛЬКО","4"
"КОНЦЕ","4"
"СТЕНУ","4"
"ТЕКСТ","4"
"МОМЕНТ","4"
"ЖЕНЩИНА","4"
"ВМЕСТО","4"
"МЕРЕ","4"
"ДВУМЯ","4"
"РУКЕ","4"
"КАЖДЫЙ","4"
"ЧУТЬ","4"
"СВОЙ","4"
"СЛОВ","4"
"ЗАТЕМ","4"
"НЕМНОГО","4"
"КОРИДОР","4"
"КОТОРЫХ","4"
"РЕШИЛ","4"
"СТИХИ","4"
"ЧАСТЬ","4"
"ПИСТОЛЕТ","4"
"ИМ","4"
"СЛОВАМИ","4"
"ПОШЛИ","4"
"ВЕРНУЛСЯ","4"
"ОБРАЗОМ","4"
"СЦЕНЕ","4"
"ПАДАЛ","4"
"ВСЯ","4"
"ПОХОЖЕЕ","4"
"НИКАКОГО","4"
"МОЕГО","4"
"СТРАШНО","4"
"ДРУГ","4"
"СНЯЛ","4"
"МОГЛИ","4"
"ЯКОВЛЕВИЧ","4"
"КАЗАЛОСЬ","4"
"БУЛЬВАР","4"
"НАШ","4"
"ЗНАЕШЬ","4"
"УЖ","4"
"НИКАК","4"
"СВОИМ","4"
"ЭТИ","4"
"ИМЯ","4"
"ЧАШКИ","4"
"РЕВОЛЬВЕР","4"
"ХАЛАТЕ","4"
"ЭСТРАДУ","4"
"ЧК","4"
"ЦЕНТРЕ","4"
"ВСЕХ","4"
"НОГУ","4"
"ЗНАЕТ","4"
"БАБАЯСИН","4"
"ВПЕРЕД","4"
"СЕГОДНЯ","4"
"ТИХО","4"
"ОТЧЕГО","4"
"МЕДЛЕННО","4"
"ТОПОРОМ","4"
"ГИМНАСТЕРКЕ","4"
"БУДЕТ","4"
"ВАЛЕРИЙ","4"
"ВОЗЛЕ","4"
"СТИХОТВОРЕНИЕ","4"
"ПОСТОЯННО","4"
"СВОЕГО","4"
"ДРУГОЙ","4"
"МОЖНО","4"
"ОКАЗАЛИСЬ","4"
"УСПЕЛ","4"
"ВОДКИ","3"
"ГОДУ","3"
"ТУФЛЮ","3"
"ДНЯ","3"
"КРАЮ","3"
"ЕСТЬ","3"
"РОТ","3"
"ЖИВОТА","3"
"ПОСЛЕДНИЕ","3"
"ИДТИ","3"
"БОЖЕ","3"
"ЖИЗНЬ","3"
"ЗНАЮ","3"
"ПОНИМАЕТЕ","3"
"ЖЕНСКИЙ","3"
"ДРУГИМИ","3"
"НОГИ","3"
"ЗНАТЬ","3"
"КАКИМ","3"
"ВПОЛНЕ","3"
"ЛОБ","3"
"РЕВОЛЮЦИЮ","3"
"ТЕКСТА","3"
"МАЛИНОВСКАЯ","3"
"КРАСНЫЙ","3"
"ШВЫРНУЛ","3"
"ЗАЛА","3"
"ЯВЛЯЕТСЯ","3"
"ВИД","3"
"ВИНТОВКУ","3"
"ТЕХ","3"
"КАКОМ","3"
"ШЕЛ","3"
"ЗВУК","3"
"ЧАСТО","3"
"ЛИНИЮ","3"
"МОЛЧА","3"
"ДЕЛАТЬ","3"
"ДЕНЬ","3"
"ДОВОЛЬНО","3"
"ОДНОГО","3"
"НЕМ","3"
